model_name,transaction_type,class_weight,precision,recall,f1-score,false_positive_rate
decision_tree,CASH_OUT,30,0.1905634448007329,0.6742301458670988,0.2971428571428571,0.0052744851630851
logreg,CASH_OUT,124,0.156515034695451,0.987034035656402,0.2701863354037267,0.009796751729058
svc_linear,CASH_OUT,112,0.144004144004144,0.9011345218800648,0.2483251451540866,0.0098654066010166
svc_rbf,CASH_OUT,81,0.1482666666666666,0.9011345218800648,0.2546370506068239,0.0095340722189553
svc_rbf_sampler,CASH_OUT,88,0.1465798045602606,0.7293354943273906,0.2441008950366151,0.0078206854144217
decision_tree,TRANSFER,305,0.6308169596690796,0.993485342019544,0.7716635041113219,0.0045005862108089
logreg,TRANSFER,14,0.8243243243243243,0.993485342019544,0.9010339734121122,0.0016388689283057
svc_linear,TRANSFER,12,0.7420924574209246,0.993485342019544,0.8495821727019499,0.0026726170215448
svc_rbf,TRANSFER,13,0.7171597633136094,0.986970684039088,0.8307059629883482,0.0030129974912698
svc_rbf_sampler,TRANSFER,35,0.4482484076433121,0.9169381107491856,0.6021390374331551,0.0087364320562762
